bat_ID	sex	age	DATA	Temp	Rel_Hum	WEIGTHT	ARMLETH	BODY_TEMP	Peak_Freq
FB1128	2	2	8.25	19.4	86.1	21.49	58.69	37.23	68.6215
FB1129	1	1	8.25	19.4	86.7	17.59	59.32	34.6	68.6755
FB1130	1	2	8.25	19.3	87.4	21.65	59.16	33.9	68.598
FB1131	2	1	8.25	19.2	88.1	18.43	57.47	35.4	68.442
FB1132	2	1	8.25	19.1	87.7	18.78	58.92	34.4	68.0545
FB1133	1	1	9.1	22.1	67.6	18.84	56.39	36.1	68.216
FB1134	2	1	8.25	18.9	90.4	18.76	57.19	34.3	68.5562
FB1135	2	1	8.25	19	90.1	17.48	56.91	35.3	69.0065
FB1136	2	1	8.25	19	89.9	19.3	58.11	34.5	68.528
FB1137	1	1	8.25	19	89.6	16.57	57.77	33.4	68.3475
FB1138	2	2	8.25	18.9	90	22.2	59.53	36.7	68.9465
FB1139	1	1	8.25	18.8	90.4	19.21	58.82	34.2	68.2975
FB1140	2	2	8.25	18.8	90	23.26	58.41	37.8	68.8685
FB1141	2	1	8.25	18.7	90.7	18.85	59.21	33.7	68.25035
FB1142	2	1	8.25	18.8	90.4	18.31	61.34	32.5	68.6275
FB1143	2	2	8.25	18.7	90.7	23.53	60.01	36	68.766
FB1144	2	1	8.25	18.9	89.7	19.33	59.76	35.3	68.6455
FB1145	1	1	8.25	18.8	89.8	17.81	58.64	34.8	68.3715
FB1146	2	1	9.1	22.7	64.2	19.8	58.35	34.3	NA
FB1147	2	2	8.25	18.7	90	24.34	58.51	36.6	68.221
FB1148	2	1	8.25	18.6	90.1	19.36	60.05	35.5	68.519
FB1149	1	1	8.25	19.5	86.6	16.74	57.31	34.9	68.352
FB1150	2	1	9.1	22.1	67.5	19.31	59.32	35.4	68.0715
FB1201	2	1	9.1	22.2	68.3	25.31	59.69	36.3	68.61
FB1202	1	1	9.1	22.1	67.5	19.52	57.24	38	68.42
FB1203	2	2	9.1	21.9	69.2	22.52	58.81	37.8	69.004
FB1204	1	1	9.1	21.8	68.8	20.62	57.57	38.2	67.878
FB1205	1	2	9.1	22.2	68.5	21.73	59.49	36.8	68.2765
FB1206	1	1	9.1	22	68.8	18.99	58.88	36.3	68.314
FB1207	2	1	9.1	22	68.1	20.78	57.8	36.5	68.386
FB1208	1	1	9.1	22.1	67.8	20.75	58.53	38.6	68.059
FB1209	1	1	9.1	22.1	68.3	20.89	58.16	36.6	68.19
FB1210	2	1	9.1	21.8	68.9	20.21	59.06	37.8	68.2705
FB1211	2	2	9.1	22.2	68.1	22.56	59.51	37.2	68.642
